bank_ref,utr,credit_amount,date,description,balance
BKREF735124,UTR832920934001,46892.95,2026-08-30T07:42:54.072783,Settlement for pay_555640,1000000.0
BKREF215114,UTR832935387002,30205.68,2026-08-30T14:10:54.072783,Settlement for pay_236362,1000000.0
BKREF573787,UTR832954564003,3782.77,2026-08-29T18:32:54.072783,Settlement for pay_266784,1000000.0
BKREF639078,UTR832992346004,15436.39,2026-08-29T20:37:54.072783,Settlement for pay_541470,1000000.0
BKREF590591,UTR832996341005,16281.89,2026-08-29T10:47:54.072783,Settlement for pay_646928,1000000.0
BKREF906110,UTR832920570006,27385.1,2026-08-31T14:59:54.072783,Settlement for pay_335881,1000000.0
BKREF818235,UTR832951849007,11495.85,2026-08-29T13:30:54.072783,Settlement for pay_374239,1000000.0
BKREF650278,UTR832988730008,41504.93,2026-08-31T00:42:54.072783,Settlement for pay_588142,1000000.0
BKREF922736,UTR832991332010,9913.67,2026-08-29T12:12:54.072783,Settlement for pay_350111,1000000.0
BKREF349403,UTR832982125011,22025.36,2026-08-30T16:34:54.072783,Settlement for pay_863255,1000000.0
BKREF352413,UTR832961954012,22754.66,2026-08-31T06:01:54.072783,Settlement for pay_141004,1000000.0
BKREF287367,UTR832932621013,15147.78,2026-08-30T04:59:54.072783,Settlement for pay_664678,1000000.0
BKREF597236,UTR832918200014,28093.65,2026-08-30T09:08:54.072783,Settlement for pay_706921,1000000.0
BKREF132065,UTR832994878015,12401.38,2026-08-30T21:59:54.072783,Settlement for pay_614523,1000000.0
BKREF825698,UTR832953082016,27626.18,2026-08-29T19:13:54.072783,Settlement for pay_807506,1000000.0
BKREF107988,UTR832966415017,17861.72,2026-08-31T13:29:54.072783,Settlement for pay_543641,1000000.0
BKREF449458,UTR832938800018,7510.95,2026-08-31T08:24:54.072783,Settlement for pay_514555,1000000.0
BKREF206247,UTR832959235020,15414.23,2026-08-31T06:34:54.072783,Settlement for pay_734844,1000000.0
BKREF953866,UTR832927490021,532.2,2026-08-30T17:02:54.072783,Settlement for pay_634831,1000000.0
BKREF946678,UTR832916956022,2697.32,2026-08-30T05:56:54.072783,Settlement for pay_204225,1000000.0
BKREF496674,UTR832959394023,17521.68,2026-08-31T08:30:54.072783,Settlement for pay_760159,1000000.0
BKREF225167,UTR832957688025,34473.19,2026-08-30T04:49:54.072783,Settlement for pay_943916,1000000.0
BKREF757646,UTR832959214027,43187.33,2026-09-03T18:24:54.072783,Settlement for pay_596399,1000000.0
BKREF669066,UTR832914317028,47442.28,2026-08-30T02:31:54.072783,Settlement for pay_136202,1000000.0
BKREF634545,UTR832979485029,43392.64,2026-08-30T14:24:54.072783,Settlement for pay_521471,1000000.0
BKREF944859,UTR832984586030,11476.75,2026-08-30T02:49:54.072783,Settlement for pay_478957,1000000.0
BKREF944859_DUP,UTR832984586030,11476.75,2026-08-30T02:50:54.072783,Settlement for pay_478957 (Duplicate),1011476.75
BKREF934552,UTR832929608031,7245.59,2026-08-31T14:57:54.072783,Settlement for pay_878906,1000000.0
BKREF993284,UTR832970564032,16490.65,2026-08-29T21:20:54.072783,Settlement for pay_166643,1000000.0
BKREF405420,UTR832984148033,12780.88,2026-08-30T19:00:54.072783,Settlement for pay_620769,1000000.0
BKREF513242,UTR832966152034,12575.39,2026-08-31T07:21:54.072783,Settlement for pay_598160,1000000.0
BKREF608419,UTR832935298035,20838.92,2026-08-31T03:01:54.072783,Settlement for pay_501673,1000000.0
BKREF328770,UTR832950218036,13248.07,2026-08-30T16:43:54.072783,Settlement for pay_905174,1000000.0
BKREF133532,UTR832981851037,13311.41,2026-08-29T15:27:54.072783,Settlement for pay_740437,1000000.0
BKREF378375,UTR832936039038,38337.25,2026-08-30T14:05:54.072783,Settlement for pay_301241,1000000.0
BKREF752690,UTR832922706039,14918.65,2026-08-30T15:28:54.072783,Settlement for pay_866607,1000000.0
BKREF824347,UTR832913146041,20047.91,2026-08-29T11:27:54.072783,Settlement for pay_437992,1000000.0
BKREF824347_DUP,UTR832913146041,20047.91,2026-08-29T11:28:54.072783,Settlement for pay_437992 (Duplicate),1020047.91
BKREF659681,UTR832997241042,14483.91,2026-08-29T15:16:54.072783,Settlement for pay_317225,1000000.0
BKREF933878,UTR832979910043,19894.72,2026-08-30T06:37:54.072783,Settlement for pay_151526,1000000.0
