ledger_id,reference,amount,date,description,account,type,txn_id
LDG3607,UTR832920934001,47849.95,2026-08-29T22:42:54.072783,Invoice 1749,Sales,credit,pay_555640
LDG5866,UTR832935387002,30205.68,2026-08-29T03:10:54.072783,Invoice 7972,Sales,credit,pay_236362
LDG4715,UTR832954564003,3782.77,2026-08-29T15:32:54.072783,Invoice 5221,Sales,credit,pay_266784
LDG3045,UTR832992346004,15751.42,2026-08-28T23:37:54.072783,Invoice 8175,Sales,credit,pay_541470
LDG5079,UTR832996341005,16281.89,2026-08-29T00:47:54.072783,Invoice 7430,Sales,credit,pay_646928
LDG1419,UTR832920570006,27385.1,2026-08-29T21:59:54.072783,Invoice 4454,Sales,credit,pay_335881
LDG5215,UTR832951849007,11730.46,2026-08-29T11:30:54.072783,Invoice 2656,Sales,credit,pay_374239
LDG8342,UTR832988730008,42351.97,2026-08-29T10:42:54.072783,Invoice 9591,Sales,credit,pay_588142
LDG3704,UTR832944634009,39115.59,2026-08-29T15:37:54.072783,Invoice 8584,Sales,credit,pay_934473
LDG9919,UTR832991332010,10115.99,2026-08-29T00:12:54.072783,Invoice 6201,Sales,credit,pay_350111
LDG7114,UTR832982125011,22525.88,2026-08-29T00:34:54.072783,Invoice 8751,Sales,credit,pay_863255
LDG2555,UTR832961954012,23219.04,2026-08-29T06:01:54.072783,Invoice 3589,Sales,credit,pay_141004
LDG3618,UTR832932621013,15507.94,2026-08-29T09:59:54.072783,Invoice 3873,Sales,credit,pay_664678
LDG4751,UTR832953082016,28189.98,2026-08-29T11:13:54.072783,Invoice 1198,Sales,credit,pay_807506
LDG4868,UTR832966415017,17861.72,2026-08-29T14:29:54.072783,Invoice 3765,Sales,credit,pay_543641
LDG1276,UTR832938800018,7664.23,2026-08-29T21:24:54.072783,Invoice 2812,Sales,credit,pay_514555
LDG5892,UTR832992001019,14999.0,2026-08-29T03:05:54.072783,Invoice 3428,Sales,credit,pay_234094
LDG8891,UTR832959235020,15728.81,2026-08-29T08:34:54.072783,Invoice 6593,Sales,credit,pay_734844
LDG2718,UTR832927490021,543.06,2026-08-29T15:02:54.072783,Invoice 1445,Sales,credit,pay_634831
LDG3312,UTR832916956022,2803.39,2026-08-29T19:56:54.072783,Invoice 1408,Sales,credit,pay_204225
LDG8238,UTR832959394023,17930.29,2026-08-29T08:30:54.072783,Invoice 6866,Sales,credit,pay_760159
LDG9567,UTR832956217024,40513.3,2026-08-29T19:47:54.072783,Invoice 6036,Sales,credit,pay_129314
LDG5869,UTR832957688025,35176.72,2026-08-29T06:49:54.072783,Invoice 3273,Sales,credit,pay_943916
LDG7532,UTR832986043026,24455.36,2026-08-28T23:38:54.072783,Invoice 1541,Sales,credit,pay_581087
LDG4781,UTR832959214027,43187.33,2026-08-29T18:24:54.072783,Invoice 7668,Sales,credit,pay_596399
LDG2065,UTR832914317028,48410.49,2026-08-29T02:31:54.072783,Invoice 1891,Sales,credit,pay_136202
LDG8832,UTR832979485029,44278.2,2026-08-29T04:24:54.072783,Invoice 2651,Sales,credit,pay_521471
LDG3400,UTR832984586030,11476.75,2026-08-29T08:49:54.072783,Invoice 1095,Sales,credit,pay_478957
LDG9764,UTR832929608031,7245.59,2026-08-29T18:57:54.072783,Invoice 1937,Sales,credit,pay_878906
LDG5330,UTR832970564032,16878.21,2026-08-29T19:20:54.072783,Invoice 1612,Sales,credit,pay_166643
LDG1545,UTR832984148033,12780.88,2026-08-29T17:00:54.072783,Invoice 3828,Sales,credit,pay_620769
LDG7289,UTR832966152034,12832.03,2026-08-29T22:21:54.072783,Invoice 9929,Sales,credit,pay_598160
LDG4999,UTR832950218036,13518.44,2026-08-29T03:43:54.072783,Invoice 1032,Sales,credit,pay_905174
LDG8048,UTR832936039038,38337.25,2026-08-29T05:05:54.072783,Invoice 6301,Sales,credit,pay_301241
LDG2671,UTR832922706039,14918.65,2026-08-29T19:28:54.072783,Invoice 5457,Sales,credit,pay_866607
LDG8039,UTR832970211040,27403.62,2026-08-29T14:03:54.072783,Invoice 1581,Sales,credit,pay_984812
LDG5960,UTR832913146041,20047.91,2026-08-29T02:27:54.072783,Invoice 7156,Sales,credit,pay_437992
LDG8080,UTR832997241042,14483.91,2026-08-28T23:16:54.072783,Invoice 1028,Sales,credit,pay_317225
LDG7374,UTR832979910043,19894.72,2026-08-29T09:37:54.072783,Invoice 9806,Sales,credit,pay_151526
LDG3384,UTR832947977044,42739.77,2026-08-29T03:07:54.072783,Invoice 6876,Sales,credit,pay_610877
LDG2344,UTR832942262045,7902.47,2026-08-29T11:52:54.072783,Invoice 2739,Sales,credit,pay_936945
LDG7806,UTR832966760046,5252.5,2026-08-29T11:08:54.072783,Invoice 1403,Sales,credit,pay_864840
LDG5131,UTR832983736047,47328.7,2026-08-29T05:35:54.072783,Invoice 7269,Sales,credit,pay_957115
LDG1109,UTR832934953048,38314.82,2026-08-29T16:48:54.072783,Invoice 1672,Sales,credit,pay_503706
LDG4930,UTR832925790049,1119.35,2026-08-29T22:05:54.072783,Invoice 2255,Sales,credit,pay_261555
