txn_id,utr,amount,fee,net_amount,date,description,status,payment_method
pay_555640,UTR832920934001,47849.95,957.0,46892.95,2026-08-29T22:42:54.072783,Customer Payment 1,captured,netbanking
pay_236362,UTR832935387002,30822.12,616.44,30205.68,2026-08-29T03:10:54.072783,Customer Payment 2,captured,card
pay_266784,UTR832954564003,3859.97,77.2,3782.77,2026-08-29T15:32:54.072783,Customer Payment 3,captured,upi
pay_541470,UTR832992346004,15751.42,315.03,15436.39,2026-08-28T23:37:54.072783,Customer Payment 4,captured,card
pay_646928,UTR832996341005,16614.17,332.28,16281.89,2026-08-29T00:47:54.072783,Customer Payment 5,captured,netbanking
pay_335881,UTR832920570006,27943.98,558.88,27385.1,2026-08-29T21:59:54.072783,Customer Payment 6,captured,netbanking
pay_374239,UTR832951849007,11730.46,234.61,11495.85,2026-08-29T11:30:54.072783,Customer Payment 7,captured,netbanking
pay_588142,UTR832988730008,42351.97,847.04,41504.93,2026-08-29T10:42:54.072783,Customer Payment 8,captured,card
pay_934473,UTR832944634009,39115.59,782.31,38333.28,2026-08-29T15:37:54.072783,Customer Payment 9,captured,upi
pay_350111,UTR832991332010,10115.99,202.32,9913.67,2026-08-29T00:12:54.072783,Customer Payment 10,captured,upi
pay_863255,UTR832982125011,22525.88,450.52,22075.36,2026-08-29T00:34:54.072783,Customer Payment 11,captured,card
pay_141004,UTR832961954012,23219.04,464.38,22754.66,2026-08-29T06:01:54.072783,Customer Payment 12,captured,upi
pay_664678,UTR832932621013,15507.94,310.16,15197.78,2026-08-29T09:59:54.072783,Customer Payment 13,captured,upi
pay_706921,UTR832918200014,28666.99,573.34,28093.65,2026-08-29T03:08:54.072783,Customer Payment 14,captured,card
pay_614523,UTR832994878015,12654.47,253.09,12401.38,2026-08-29T07:59:54.072783,Customer Payment 15,captured,upi
pay_807506,UTR832953082016,28189.98,563.8,27626.18,2026-08-29T11:13:54.072783,Customer Payment 16,captured,netbanking
pay_543641,UTR832966415017,18226.25,364.53,17861.72,2026-08-29T14:29:54.072783,Customer Payment 17,captured,netbanking
pay_514555,UTR832938800018,7664.23,153.28,7510.95,2026-08-29T21:24:54.072783,Customer Payment 18,captured,upi
pay_234094,UTR832992001019,15305.1,306.1,14999.0,2026-08-29T03:05:54.072783,Customer Payment 19,captured,netbanking
pay_734844,UTR832959235020,15728.81,314.58,15414.23,2026-08-29T08:34:54.072783,Customer Payment 20,captured,netbanking
pay_634831,UTR832927490021,543.06,10.86,532.2,2026-08-29T15:02:54.072783,Customer Payment 21,captured,card
pay_204225,UTR832916956022,2803.39,56.07,2747.32,2026-08-29T19:56:54.072783,Customer Payment 22,captured,netbanking
pay_760159,UTR832959394023,17930.29,358.61,17571.68,2026-08-29T08:30:54.072783,Customer Payment 23,captured,card
pay_129314,UTR832956217024,40513.3,810.27,39703.03,2026-08-29T19:47:54.072783,Customer Payment 24,captured,netbanking
pay_943916,UTR832957688025,35176.72,703.53,34473.19,2026-08-29T06:49:54.072783,Customer Payment 25,captured,card
pay_581087,UTR832986043026,24455.36,489.11,23966.25,2026-08-28T23:38:54.072783,Customer Payment 26,captured,upi
pay_596399,UTR832959214027,44068.7,881.37,43187.33,2026-08-29T18:24:54.072783,Customer Payment 27,captured,upi
pay_136202,UTR832914317028,48410.49,968.21,47442.28,2026-08-29T02:31:54.072783,Customer Payment 28,captured,upi
pay_521471,UTR832979485029,44278.2,885.56,43392.64,2026-08-29T04:24:54.072783,Customer Payment 29,captured,netbanking
pay_478957,UTR832984586030,11710.97,234.22,11476.75,2026-08-29T08:49:54.072783,Customer Payment 30,captured,card
pay_878906,UTR832929608031,7393.46,147.87,7245.59,2026-08-29T18:57:54.072783,Customer Payment 31,captured,netbanking
pay_166643,UTR832970564032,16878.21,337.56,16540.65,2026-08-29T19:20:54.072783,Customer Payment 32,captured,netbanking
pay_620769,UTR832984148033,13041.71,260.83,12780.88,2026-08-29T17:00:54.072783,Customer Payment 33,captured,card
pay_598160,UTR832966152034,12832.03,256.64,12575.39,2026-08-29T22:21:54.072783,Customer Payment 34,captured,netbanking
pay_501673,UTR832935298035,21264.2,425.28,20838.92,2026-08-29T04:01:54.072783,Customer Payment 35,captured,netbanking
pay_905174,UTR832950218036,13518.44,270.37,13248.07,2026-08-29T03:43:54.072783,Customer Payment 36,captured,netbanking
pay_740437,UTR832981851037,13583.07,271.66,13311.41,2026-08-29T13:27:54.072783,Customer Payment 37,captured,netbanking
pay_301241,UTR832936039038,39119.64,782.39,38337.25,2026-08-29T05:05:54.072783,Customer Payment 38,captured,card
pay_866607,UTR832922706039,15223.11,304.46,14918.65,2026-08-29T19:28:54.072783,Customer Payment 39,captured,upi
pay_984812,UTR832970211040,27962.88,559.26,27403.62,2026-08-29T14:03:54.072783,Customer Payment 40,captured,card
pay_437992,UTR832913146041,20457.05,409.14,20047.91,2026-08-29T02:27:54.072783,Customer Payment 41,captured,upi
pay_317225,UTR832997241042,14779.5,295.59,14483.91,2026-08-28T23:16:54.072783,Customer Payment 42,captured,upi
pay_151526,UTR832979910043,20300.73,406.01,19894.72,2026-08-29T09:37:54.072783,Customer Payment 43,captured,netbanking
pay_610877,UTR832947977044,42739.77,854.8,41884.97,2026-08-29T03:07:54.072783,Customer Payment 44,captured,card
pay_936945,UTR832942262045,8063.75,161.28,7902.47,2026-08-29T11:52:54.072783,Customer Payment 45,captured,upi
pay_864840,UTR832966760046,5359.69,107.19,5252.5,2026-08-29T11:08:54.072783,Customer Payment 46,captured,card
pay_957115,UTR832983736047,48294.59,965.89,47328.7,2026-08-29T05:35:54.072783,Customer Payment 47,captured,netbanking
pay_503706,UTR832934953048,39096.76,781.94,38314.82,2026-08-29T16:48:54.072783,Customer Payment 48,captured,card
pay_261555,UTR832925790049,1142.19,22.84,1119.35,2026-08-29T22:05:54.072783,Customer Payment 49,captured,netbanking
pay_518902,UTR832970543050,11775.94,235.52,11540.42,2026-08-29T09:26:54.072783,Customer Payment 50,captured,card
pay_750701,UTR832928811051,49269.04,985.38,48283.66,2026-08-29T14:28:54.072783,Customer Payment 51,captured,card
pay_205458,UTR832933792052,22990.34,459.81,22530.53,2026-08-29T16:19:54.072783,Customer Payment 52,captured,card
pay_583555,UTR832950409053,4433.86,88.68,4345.18,2026-08-29T16:32:54.072783,Customer Payment 53,captured,upi
pay_653759,UTR832993929054,14616.04,292.32,14323.72,2026-08-29T18:14:54.072783,Customer Payment 54,captured,card
pay_750363,UTR832983408055,36887.82,737.76,36150.06,2026-08-29T06:02:54.072783,Customer Payment 55,captured,upi
pay_302623,UTR832933031056,42132.24,842.64,41289.6,2026-08-29T11:33:54.072783,Customer Payment 56,captured,netbanking
pay_475158,UTR832921970057,8704.27,174.09,8530.18,2026-08-29T21:41:54.072783,Customer Payment 57,captured,upi
pay_683705,UTR832981299058,8548.38,170.97,8377.41,2026-08-29T17:30:54.072783,Customer Payment 58,captured,card
pay_498857,UTR832962485059,19160.28,383.21,18777.07,2026-08-29T20:56:54.072783,Customer Payment 59,captured,card
pay_899750,UTR832920836060,39832.6,796.65,39035.95,2026-08-29T05:42:54.072783,Customer Payment 60,captured,card
