bank_ref,utr,credit_amount,date,description,balance
SBIN20240112C0000,RAZORPAY4332181960013389,3112.57,2024-01-12,RAZORPAY SETTLEMENT RAZORPAY4332181960013389,6646506.85
KOTAK20240108C0001,RAZORPAY1647525534192832,421804.15,2024-01-08,RAZORPAY SETTLEMENT RAZORPAY1647525534192832,1000003.18
SBIN20240119C0002,RAZORPAY2691669784801845,99432.1,2024-01-19,RAZORPAY SETTLEMENT RAZORPAY2691669784801845,8178630.21
SBIN20240102C0003,RAZORPAY7824896383465787,88211.87,2024-01-02,RAZORPAY SETTLEMENT RAZORPAY7824896383465787,7309314.53
SBIN20240103C0004,RAZORPAY7262473178108013,582.9,2024-01-03,RAZORPAY SETTLEMENT RAZORPAY7262473178108013,6784604.28
ICICI20240129C0005,RAZORPAY9399091699854353,27723.79,2024-01-29,RAZORPAY SETTLEMENT RAZORPAY9399091699854353,8908155.8
HDFC20240130C0006,RAZORPAY9353487401640052,9753.83,2024-01-30,RAZORPAY SETTLEMENT RAZORPAY9353487401640052,8826020.43
ICICI20240130C0007,RAZORPAY6342160733754330,2267.74,2024-01-30,RAZORPAY SETTLEMENT RAZORPAY6342160733754330,792740.73
AXIS20240125C0008,RAZORPAY1484656482366299,315263.0,2024-01-25,RAZORPAY SETTLEMENT RAZORPAY1484656482366299,8872755.4
HDFC20240105C0009,RAZORPAY7632016328708317,1744.27,2024-01-05,RAZORPAY SETTLEMENT RAZORPAY7632016328708317,6970103.14
AXIS20240111C0010,RAZORPAY5876036690967054,1098.39,2024-01-11,RAZORPAY SETTLEMENT RAZORPAY5876036690967054,3441255.43
KOTAK20240126C0011,RAZORPAY6417080531003309,2329.04,2024-01-26,RAZORPAY SETTLEMENT RAZORPAY6417080531003309,3537317.28
AXIS20240124C0012,RAZORPAY5067165726284987,4292.56,2024-01-24,RAZORPAY SETTLEMENT RAZORPAY5067165726284987,7950035.39
AXIS20240120C0013,RAZORPAY3495788568557444,1074.37,2024-01-20,RAZORPAY SETTLEMENT RAZORPAY3495788568557444,4460641.1
SBIN20240129C0014,RAZORPAY7116719022941318,145156.35,2024-01-29,RAZORPAY SETTLEMENT RAZORPAY7116719022941318,9246719.34
SBIN20240128C0015,RAZORPAY3618324210249947,24026.68,2024-01-28,RAZORPAY SETTLEMENT RAZORPAY3618324210249947,3544814.46
AXIS20240127C0016,RAZORPAY2567468071545168,386.47,2024-01-27,RAZORPAY SETTLEMENT RAZORPAY2567468071545168,5137832.95
KOTAK20240102C0017,RAZORPAY7378263982146584,15396.6,2024-01-02,RAZORPAY SETTLEMENT RAZORPAY7378263982146584,8710033.1
HDFC20240116C0018,RAZORPAY0262174596158657,2235.51,2024-01-16,RAZORPAY SETTLEMENT RAZORPAY0262174596158657,6415255.85
ICICI20240129C0019,RAZORPAY7482175946474367,168.02,2024-01-29,RAZORPAY SETTLEMENT RAZORPAY7482175946474367,430308.86
ICICI20240104C0020,RAZORPAY4562328588424745,4861.17,2024-01-04,RAZORPAY SETTLEMENT RAZORPAY4562328588424745,1255091.77
KOTAK20240125C0021,RAZORPAY7113826758692617,168967.34,2024-01-25,RAZORPAY SETTLEMENT RAZORPAY7113826758692617,8149224.51
ICICI20240103C0022,RAZORPAY9042284210205395,485.03,2024-01-03,RAZORPAY SETTLEMENT RAZORPAY9042284210205395,3870953.55
SBIN20240116C0023,RAZORPAY9611836736576615,14623.71,2024-01-16,RAZORPAY SETTLEMENT RAZORPAY9611836736576615,8469196.84
ICICI20240114C0024,RAZORPAY3689980940244550,785.65,2024-01-14,RAZORPAY SETTLEMENT RAZORPAY3689980940244550,5316647.66
ICICI20240104C0025,RAZORPAY9003432445107622,1053.41,2024-01-04,RAZORPAY SETTLEMENT RAZORPAY9003432445107622,2293563.38
AXIS20240118C0026,RAZORPAY8835523124329212,1599.42,2024-01-18,RAZORPAY SETTLEMENT RAZORPAY8835523124329212,4552363.67
HDFC20240114C0027,RAZORPAY7820715182037788,11074.32,2024-01-14,RAZORPAY SETTLEMENT RAZORPAY7820715182037788,6495645.73
KOTAK20240111C0028,RAZORPAY4235733221418880,2930.51,2024-01-11,RAZORPAY SETTLEMENT RAZORPAY4235733221418880,9666054.72
SBIN20240119C0029,RAZORPAY4075818141247826,92804.19,2024-01-19,RAZORPAY SETTLEMENT RAZORPAY4075818141247826,2452638.24
AXIS20240107C0030,RAZORPAY9711798089324609,1109.77,2024-01-07,RAZORPAY SETTLEMENT RAZORPAY9711798089324609,8133827.05
ICICI20240107C0031,RAZORPAY0430305486874034,27777.74,2024-01-07,RAZORPAY SETTLEMENT RAZORPAY0430305486874034,519316.11
SBIN20240107C0032,RAZORPAY0165820297021355,14119.58,2024-01-07,RAZORPAY SETTLEMENT RAZORPAY0165820297021355,6711613.93
ICICI20240106C0033,RAZORPAY4225831323705895,1390.49,2024-01-06,RAZORPAY SETTLEMENT RAZORPAY4225831323705895,3525628.52
ICICI20240106C0034,RAZORPAY4384249818299229,417497.74,2024-01-06,RAZORPAY SETTLEMENT RAZORPAY4384249818299229,9756203.87
ICICI20240126C0035,RAZORPAY1537147321046963,265620.5,2024-01-26,RAZORPAY SETTLEMENT RAZORPAY1537147321046963,4065758.05
SBIN20240120C0036,RAZORPAY4168784991216558,12175.12,2024-01-20,RAZORPAY SETTLEMENT RAZORPAY4168784991216558,2728751.33
HDFC20240119C0037,RAZORPAY9309728962309130,385478.96,2024-01-19,RAZORPAY SETTLEMENT RAZORPAY9309728962309130,7734625.26
AXIS20240130C0038,RAZORPAY5758441986652404,1764.08,2024-01-30,RAZORPAY SETTLEMENT RAZORPAY5758441986652404,7583519.49
HDFC20240104C0039,RAZORPAY1938026206724004,1628.5,2024-01-04,RAZORPAY SETTLEMENT RAZORPAY1938026206724004,3303656.53
SBIN20240119C0040,RAZORPAY7454990453017426,1026.59,2024-01-19,RAZORPAY SETTLEMENT RAZORPAY7454990453017426,5769746.57
ICICI20240122C0041,RAZORPAY7139718707286790,2107.11,2024-01-22,RAZORPAY SETTLEMENT RAZORPAY7139718707286790,1866888.93
HDFC20240128C0042,RAZORPAY3004786863375243,5860.39,2024-01-28,RAZORPAY SETTLEMENT RAZORPAY3004786863375243,8774957.39
AXIS20240124C0043,RAZORPAY4089268705685662,13545.51,2024-01-24,RAZORPAY SETTLEMENT RAZORPAY4089268705685662,8707791.13
AXIS20240125C0044,RAZORPAY3317393638546785,2232.19,2024-01-25,RAZORPAY SETTLEMENT RAZORPAY3317393638546785,7354445.15
KOTAK20240114C0045,RAZORPAY7280801006231203,1799.25,2024-01-14,RAZORPAY SETTLEMENT RAZORPAY7280801006231203,9903307.01
AXIS20240130C0046,RAZORPAY1016668700217659,2046.49,2024-01-30,RAZORPAY SETTLEMENT RAZORPAY1016668700217659,7925931.04
KOTAK20240112C0047,RAZORPAY5016315999650477,15887.79,2024-01-12,RAZORPAY SETTLEMENT RAZORPAY5016315999650477,8650809.95
KOTAK20240111C0048,RAZORPAY1839826224447212,1036.28,2024-01-11,RAZORPAY SETTLEMENT RAZORPAY1839826224447212,3326273.75
AXIS20240126C0049,RAZORPAY1939828073741672,209613.07,2024-01-26,RAZORPAY SETTLEMENT RAZORPAY1939828073741672,204422.95
HDFC20240127C0050,RAZORPAY8993756798250714,1860.14,2024-01-27,RAZORPAY SETTLEMENT RAZORPAY8993756798250714,6440740.88
KOTAK20240121C0051,RAZORPAY3796603341918255,22240.61,2024-01-21,RAZORPAY SETTLEMENT RAZORPAY3796603341918255,4947456.06
ICICI20240116C0052,RAZORPAY9050723688767677,2078.43,2024-01-16,RAZORPAY SETTLEMENT RAZORPAY9050723688767677,4446792.04
AXIS20240129C0053,RAZORPAY9596292330958498,138028.44,2024-01-29,RAZORPAY SETTLEMENT RAZORPAY9596292330958498,6977565.8
HDFC20240114C0054,RAZORPAY9017518636374545,15545.48,2024-01-14,RAZORPAY SETTLEMENT RAZORPAY9017518636374545,6589303.76
HDFC20240111C0055,RAZORPAY1293870051627136,636.16,2024-01-11,RAZORPAY SETTLEMENT RAZORPAY1293870051627136,6481743.63
ICICI20240118C0056,RAZORPAY9404389836403761,18551.81,2024-01-18,RAZORPAY SETTLEMENT RAZORPAY9404389836403761,3168078.17
KOTAK20240103C0057,RAZORPAY2856914630316179,476412.21,2024-01-03,RAZORPAY SETTLEMENT RAZORPAY2856914630316179,3740109.0
KOTAK20240125C0058,RAZORPAY1380003075622086,439678.93,2024-01-25,RAZORPAY SETTLEMENT RAZORPAY1380003075622086,1590607.13
AXIS20240104C0059,RAZORPAY0506413836702410,1389.06,2024-01-04,RAZORPAY SETTLEMENT RAZORPAY0506413836702410,3208929.55
HDFC20240130C0060,RAZORPAY3747411249035213,28342.4,2024-01-30,RAZORPAY SETTLEMENT RAZORPAY3747411249035213,9060271.91
SBIN20240102C0061,RAZORPAY0296670662532447,2308.56,2024-01-02,RAZORPAY SETTLEMENT RAZORPAY0296670662532447,5341379.69
KOTAK20240105C0062,RAZORPAY1334803965223955,476259.16,2024-01-05,RAZORPAY SETTLEMENT RAZORPAY1334803965223955,9609531.63
AXIS20240130C0063,RAZORPAY9154522675289539,20220.11,2024-01-30,RAZORPAY SETTLEMENT RAZORPAY9154522675289539,2725603.16
ICICI20240119C0064,RAZORPAY1006762676586179,11851.77,2024-01-19,RAZORPAY SETTLEMENT RAZORPAY1006762676586179,2451728.02
KOTAK20240128C0065,RAZORPAY7205061497310324,17199.99,2024-01-28,RAZORPAY SETTLEMENT RAZORPAY7205061497310324,5769871.48
KOTAK20240105C0066,RAZORPAY0898992172233206,4561.02,2024-01-05,RAZORPAY SETTLEMENT RAZORPAY0898992172233206,8791146.27
HDFC20240124C0067,RAZORPAY9702462996065307,15479.44,2024-01-24,RAZORPAY SETTLEMENT RAZORPAY9702462996065307,1819999.82
ICICI20240121C0068,RAZORPAY7053457861035797,143785.07,2024-01-21,RAZORPAY SETTLEMENT RAZORPAY7053457861035797,8965281.45
KOTAK20240123C0069,RAZORPAY4896910858994417,8300.13,2024-01-23,RAZORPAY SETTLEMENT RAZORPAY4896910858994417,9074612.4
HDFC20240117C0070,RAZORPAY2824172482513534,10501.53,2024-01-17,RAZORPAY SETTLEMENT RAZORPAY2824172482513534,6381539.79
SBIN20240107C0071,RAZORPAY2927129666676008,8063.13,2024-01-07,RAZORPAY SETTLEMENT RAZORPAY2927129666676008,2320781.5
HDFC20240119C0072,RAZORPAY8215064890901001,196.74,2024-01-19,RAZORPAY SETTLEMENT RAZORPAY8215064890901001,3372975.8
SBIN20240126C0073,RAZORPAY1972181143744701,350.68,2024-01-26,RAZORPAY SETTLEMENT RAZORPAY1972181143744701,6992081.75
AXIS20240129C0074,RAZORPAY1697972965902771,416770.9,2024-01-29,RAZORPAY SETTLEMENT RAZORPAY1697972965902771,841165.9
ICICI20240108C0075,RAZORPAY4083866317797177,905.71,2024-01-08,RAZORPAY SETTLEMENT RAZORPAY4083866317797177,8315850.47
AXIS20240130C0076,RAZORPAY1027261493316373,12480.33,2024-01-30,RAZORPAY SETTLEMENT RAZORPAY1027261493316373,2808599.21
HDFC20240103C0077,RAZORPAY2269848583339452,237106.52,2024-01-03,RAZORPAY SETTLEMENT RAZORPAY2269848583339452,3650956.13
HDFC20240105C0078,RAZORPAY8386384066658004,2138.2,2024-01-05,RAZORPAY SETTLEMENT RAZORPAY8386384066658004,6009115.29
KOTAK20240128C0079,RAZORPAY7985158328182688,20213.41,2024-01-28,RAZORPAY SETTLEMENT RAZORPAY7985158328182688,4919366.62
ICICI20240120C0080,RAZORPAY8112880133613861,117637.47,2024-01-20,RAZORPAY SETTLEMENT RAZORPAY8112880133613861,3875994.39
HDFC20240112C0081,RAZORPAY3268424508821009,505.15,2024-01-12,RAZORPAY SETTLEMENT RAZORPAY3268424508821009,1090446.07
SBIN20240119C0082,RAZORPAY7759492995562053,590.45,2024-01-19,RAZORPAY SETTLEMENT RAZORPAY7759492995562053,5480346.31
KOTAK20240128C0083,RAZORPAY5639427881658039,23255.82,2024-01-28,RAZORPAY SETTLEMENT RAZORPAY5639427881658039,3828929.74
ICICI20240120C0084,RAZORPAY1846386557790827,19983.74,2024-01-20,RAZORPAY SETTLEMENT RAZORPAY1846386557790827,2244274.84
AXIS20240127C0085,RAZORPAY2369292984257991,427304.01,2024-01-27,RAZORPAY SETTLEMENT RAZORPAY2369292984257991,5931576.05
HDFC20240128C0086,RAZORPAY9162473149864300,413485.42,2024-01-28,RAZORPAY SETTLEMENT RAZORPAY9162473149864300,7852781.68
ICICI20240126C0087,RAZORPAY5890260127961143,1312.88,2024-01-26,RAZORPAY SETTLEMENT RAZORPAY5890260127961143,4113964.57
AXIS20240127C0088,RAZORPAY1184895543937690,22228.19,2024-01-27,RAZORPAY SETTLEMENT RAZORPAY1184895543937690,5213391.75
SBIN20240108C0089,RAZORPAY4165182755394237,9512.21,2024-01-08,RAZORPAY SETTLEMENT RAZORPAY4165182755394237,4835368.76
AXIS20240130C0090,RAZORPAY2718750036915594,943.33,2024-01-30,RAZORPAY SETTLEMENT RAZORPAY2718750036915594,2584642.93
ICICI20240112C0091,RAZORPAY2034717545588450,373.56,2024-01-12,RAZORPAY SETTLEMENT RAZORPAY2034717545588450,2785356.2
KOTAK20240118C0092,RAZORPAY9876220234132611,460100.99,2024-01-18,RAZORPAY SETTLEMENT RAZORPAY9876220234132611,6347370.47
ICICI20240127C0093,RAZORPAY8457831745642400,228906.59,2024-01-27,RAZORPAY SETTLEMENT RAZORPAY8457831745642400,4187748.38
SBIN20240115C0094,RAZORPAY7974973502080214,810.95,2024-01-15,RAZORPAY SETTLEMENT RAZORPAY7974973502080214,4662262.89
AXIS20240119C0095,RAZORPAY7645208814743503,28811.8,2024-01-19,RAZORPAY SETTLEMENT RAZORPAY7645208814743503,311393.04
SBIN20240122C0096,RAZORPAY0778487392855749,6058.69,2024-01-22,RAZORPAY SETTLEMENT RAZORPAY0778487392855749,1868524.12
KOTAK20240114C0097,RAZORPAY1096789940539103,1260.16,2024-01-14,RAZORPAY SETTLEMENT RAZORPAY1096789940539103,6777476.38
SBIN20240119C0098,RAZORPAY2286852897558556,26145.71,2024-01-19,RAZORPAY SETTLEMENT RAZORPAY2286852897558556,4657661.08
AXIS20240125C0099,RAZORPAY9334419693157279,988.74,2024-01-25,RAZORPAY SETTLEMENT RAZORPAY9334419693157279,2298647.72
SBIN20240112C0100,RAZORPAY5179086416862278,97216.08,2024-01-12,RAZORPAY SETTLEMENT RAZORPAY5179086416862278,7421858.14
AXIS20240105C0101,RAZORPAY4051477053833884,454575.67,2024-01-05,RAZORPAY SETTLEMENT RAZORPAY4051477053833884,1945532.14
HDFC20240126C0102,RAZORPAY0038457620555438,286595.99,2024-01-26,RAZORPAY SETTLEMENT RAZORPAY0038457620555438,6916467.69
ICICI20240114C0103,RAZORPAY2925188125205664,226651.95,2024-01-14,RAZORPAY SETTLEMENT RAZORPAY2925188125205664,2303286.7
AXIS20240106C0104,RAZORPAY1279757366096569,377041.74,2024-01-06,RAZORPAY SETTLEMENT RAZORPAY1279757366096569,7254203.24
KOTAK20240107C0105,RAZORPAY8266570279371452,1489.79,2024-01-07,RAZORPAY SETTLEMENT RAZORPAY8266570279371452,220856.87
SBIN20240113C0106,RAZORPAY0973397767199038,278709.04,2024-01-13,RAZORPAY SETTLEMENT RAZORPAY0973397767199038,8448765.34
ICICI20240108C0107,RAZORPAY4586833901981794,455.18,2024-01-08,RAZORPAY SETTLEMENT RAZORPAY4586833901981794,3146948.24
ICICI20240129C0108,RAZORPAY1556990235577027,23036.6,2024-01-29,RAZORPAY SETTLEMENT RAZORPAY1556990235577027,2787824.42
ICICI20240110C0109,RAZORPAY7438421503178078,8821.93,2024-01-10,RAZORPAY SETTLEMENT RAZORPAY7438421503178078,2006201.83
KOTAK20240126C0110,RAZORPAY1422410988138585,23191.11,2024-01-26,RAZORPAY SETTLEMENT RAZORPAY1422410988138585,1019870.13
HDFC20240123C0111,RAZORPAY7733294562557701,14673.89,2024-01-23,RAZORPAY SETTLEMENT RAZORPAY7733294562557701,7419733.74
ICICI20240128C0112,RAZORPAY9975817246191965,15507.51,2024-01-28,RAZORPAY SETTLEMENT RAZORPAY9975817246191965,3755306.65
HDFC20240114C0113,RAZORPAY8514036965666683,29679.01,2024-01-14,RAZORPAY SETTLEMENT RAZORPAY8514036965666683,4305241.39
KOTAK20240106C0114,RAZORPAY3846895009751971,25178.53,2024-01-06,RAZORPAY SETTLEMENT RAZORPAY3846895009751971,7297019.97
SBIN20240125C0115,RAZORPAY9290490471281442,1590.42,2024-01-25,RAZORPAY SETTLEMENT RAZORPAY9290490471281442,7579290.92
KOTAK20240114C0116,RAZORPAY7478366742860476,1211.17,2024-01-14,RAZORPAY SETTLEMENT RAZORPAY7478366742860476,6886445.57
HDFC20240116C0117,RAZORPAY3009109391119269,796.5,2024-01-16,RAZORPAY SETTLEMENT RAZORPAY3009109391119269,2262026.33
HDFC20240126C0118,RAZORPAY4101194707200642,1159.69,2024-01-26,RAZORPAY SETTLEMENT RAZORPAY4101194707200642,5589307.17
HDFC20240105C0119,RAZORPAY6157173203093761,10465.96,2024-01-05,RAZORPAY SETTLEMENT RAZORPAY6157173203093761,9056157.27
HDFC20240127C0120,RAZORPAY9111799313656519,7024.18,2024-01-27,RAZORPAY SETTLEMENT RAZORPAY9111799313656519,1516569.83
