txn_id,utr,amount,fee,net_amount,date,description,status,payment_method,fixture_type
pay_ahxthv3a3zmf8m,RAZORPAY4332181960013389,3187.8,75.23,3112.57,2024-01-12,Payment for FastTrack Logistics - order_DD4V30T9NT3W,captured,upi,clean
pay_qj7yhl1c32oc6u,RAZORPAY1647525534192832,431999.33,10195.18,421804.15,2024-01-08,Payment for CloudBiz - order_ZHR5XFF0T0PV,captured,wallet,clean
pay_epq85jsg65kxvf,RAZORPAY2691669784801845,101835.42,2403.32,99432.1,2024-01-19,Payment for GreenLeaf Organics - order_1T2TALA753LC,captured,wallet,clean
pay_eimvihcwi64ciy,RAZORPAY7824896383465787,90343.99,2132.12,88211.87,2024-01-02,Payment for Apex Commerce - order_HE7UR23GDPPQ,captured,wallet,clean
pay_frhocn9j2qp89u,RAZORPAY7262473178108013,596.99,14.09,582.9,2024-01-03,Payment for DigiMart - order_ZFK8UT0CVS4F,captured,upi,clean
pay_jexq77awudtsem,RAZORPAY9399091699854353,28393.89,670.1,27723.79,2024-01-29,Payment for TechSolutions Ltd - order_CIKPTK93TYT7,captured,upi,clean
pay_wj0tpac56t4ufe,RAZORPAY9353487401640052,9989.58,235.75,9753.83,2024-01-30,Payment for QuickShop - order_L6246HID25OW,captured,card,clean
pay_xokc1msy4la5ju,RAZORPAY6342160733754330,2322.55,54.81,2267.74,2024-01-30,Payment for DigiMart - order_9BVM2P9E6GBP,captured,wallet,clean
pay_ktakpuxqphr62g,RAZORPAY1484656482366299,322883.04,7620.04,315263.0,2024-01-25,Payment for FastTrack Logistics - order_DSWM31YIHAIR,captured,wallet,clean
pay_eqtul1p36p6qf5,RAZORPAY7632016328708317,1786.43,42.16,1744.27,2024-01-05,Payment for TechSolutions Ltd - order_Q14J1RIPZIM6,captured,wallet,clean
pay_148p0tvhhpbmyo,RAZORPAY5876036690967054,1124.94,26.55,1098.39,2024-01-11,Payment for PrimeServices - order_FQEWAOUAXEQB,captured,netbanking,clean
pay_feyuhz1gv0e38d,RAZORPAY6417080531003309,2385.33,56.29,2329.04,2024-01-26,Payment for NextGen Solutions - order_ALY8OZCYWD14,captured,upi,clean
pay_q3vli7kq1uymrl,RAZORPAY5067165726284987,4396.31,103.75,4292.56,2024-01-23,Payment for Fusion Foods - order_RMJKV5USGIOT,captured,wallet,clean
pay_izl08yg0jv1v93,RAZORPAY3495788568557444,1100.34,25.97,1074.37,2024-01-19,Payment for ACME Corp - order_KMKZEBBK7W1D,captured,wallet,clean
pay_1v2isqp49kwv08,RAZORPAY7116719022941318,148664.84,3508.49,145156.35,2024-01-28,Payment for Apex Commerce - order_HHXFGCAQVKIZ,captured,card,clean
pay_eyz7srcbpljd84,RAZORPAY3618324210249947,24607.41,580.73,24026.68,2024-01-27,Payment for Sunrise Traders - order_U89YJB1QX6GV,captured,wallet,clean
pay_3a5qbswrpbjek5,RAZORPAY2567468071545168,395.81,9.34,386.47,2024-01-27,Payment for Sunrise Traders - order_RBW2ZLAOI4E8,captured,netbanking,clean
pay_3kkv9rftmttqlg,RAZORPAY7378263982146584,15768.74,372.14,15396.6,2024-01-02,Payment for SwiftPay Inc - order_ZUI1B0Z3NX39,captured,netbanking,clean
pay_5bcw790pdw5py6,RAZORPAY0262174596158657,2289.54,54.03,2235.51,2024-01-16,Payment for Fusion Foods - order_B2KNFTU2GC5W,captured,wallet,clean
pay_dnmkza3oa52960,RAZORPAY7482175946474367,172.08,4.06,168.02,2024-01-29,Payment for TechSolutions Ltd - order_361I2HGJ11YE,captured,wallet,clean
pay_2qc1iyyo4udoje,RAZORPAY4562328588424745,4978.67,117.5,4861.17,2024-01-03,Payment for Sunrise Traders - order_N0JNWNYQW7LV,captured,wallet,clean
pay_w7kyhqin9n6xcj,RAZORPAY7113826758692617,173051.35,4084.01,168967.34,2024-01-25,Payment for FastTrack Logistics - order_883DHX8BM92H,captured,card,clean
pay_ajepecqnvqhw06,RAZORPAY9042284210205395,496.75,11.72,485.03,2024-01-03,Payment for QuickShop - order_XKXB94PDZP6L,captured,netbanking,clean
pay_pxnf7c3dd03uvu,RAZORPAY9611836736576615,14977.17,353.46,14623.71,2024-01-16,Payment for Sunrise Traders - order_LEMX15Z8VMUH,captured,netbanking,clean
pay_gfxc08dtnqfll7,RAZORPAY3689980940244550,804.64,18.99,785.65,2024-01-14,Payment for CloudBiz - order_V5F1BCPPVOHS,captured,wallet,clean
pay_nzs43c5ba75uuz,RAZORPAY9003432445107622,1078.87,25.46,1053.41,2024-01-03,Payment for DigiMart - order_PEAL2W37D4IV,captured,netbanking,clean
pay_8wquuy5x9l8lpq,RAZORPAY8835523124329212,1638.08,38.66,1599.42,2024-01-17,Payment for NextGen Solutions - order_W2VMCQBNKX9D,captured,upi,clean
pay_vn7n1ybwmlunj4,RAZORPAY7820715182037788,11341.99,267.67,11074.32,2024-01-13,Payment for DigiMart - order_8VFCX7LXXEZD,captured,upi,clean
pay_x5wvfgyw6zbnz8,RAZORPAY4235733221418880,3001.34,70.83,2930.51,2024-01-10,Payment for BlueOcean Pvt Ltd - order_V12II826GYUP,captured,wallet,clean
pay_d6357oonncildz,RAZORPAY4075818141247826,95047.31,2243.12,92804.19,2024-01-18,Payment for QuickShop - order_MFB7R31QW6AH,captured,netbanking,clean
pay_mugysm8t2sa5bn,RAZORPAY9711798089324609,1136.59,26.82,1109.77,2024-01-06,Payment for Sunrise Traders - order_N0MCIXDU1EMM,captured,card,clean
pay_m25len606n9rr7,RAZORPAY0430305486874034,28449.14,671.4,27777.74,2024-01-06,Payment for PrimeServices - order_S20CV3TLCXLV,captured,wallet,clean
pay_nuvy8n1utoxie0,RAZORPAY0165820297021355,14460.86,341.28,14119.58,2024-01-06,Payment for SwiftPay Inc - order_RNUJJQ9K6RE4,captured,netbanking,clean
pay_q9e5cozroouelc,RAZORPAY4225831323705895,1424.1,33.61,1390.49,2024-01-06,Payment for Smart Retail - order_QSE3TV1ES53S,captured,card,clean
