ledger_id,reference,amount,date,description,account,type,txn_id,fixture_type
LED20240112C0000,order_DD4V30T9NT3W,3187.8,2024-01-12,Customer payment - FastTrack Logistics,4002,credit,pay_ahxthv3a3zmf8m,clean
LED20240108C0001,order_ZHR5XFF0T0PV,431999.33,2024-01-08,Customer payment - CloudBiz,4001,credit,pay_qj7yhl1c32oc6u,clean
LED20240119C0002,order_1T2TALA753LC,101835.42,2024-01-19,Customer payment - GreenLeaf Organics,4003,credit,pay_epq85jsg65kxvf,clean
LED20240102C0003,order_HE7UR23GDPPQ,90343.99,2024-01-02,Customer payment - Apex Commerce,4001,credit,pay_eimvihcwi64ciy,clean
LED20240103C0004,order_ZFK8UT0CVS4F,596.99,2024-01-03,Customer payment - DigiMart,4001,credit,pay_frhocn9j2qp89u,clean
LED20240129C0005,order_CIKPTK93TYT7,28393.89,2024-01-29,Customer payment - TechSolutions Ltd,4003,credit,pay_jexq77awudtsem,clean
LED20240130C0006,order_L6246HID25OW,9989.58,2024-01-30,Customer payment - QuickShop,4001,credit,pay_wj0tpac56t4ufe,clean
LED20240130C0007,order_9BVM2P9E6GBP,2322.55,2024-01-30,Customer payment - DigiMart,4003,credit,pay_xokc1msy4la5ju,clean
LED20240125C0008,order_DSWM31YIHAIR,322883.04,2024-01-25,Customer payment - FastTrack Logistics,4003,credit,pay_ktakpuxqphr62g,clean
LED20240105C0009,order_Q14J1RIPZIM6,1786.43,2024-01-05,Customer payment - TechSolutions Ltd,4003,credit,pay_eqtul1p36p6qf5,clean
LED20240111C0010,order_FQEWAOUAXEQB,1124.94,2024-01-11,Customer payment - PrimeServices,4002,credit,pay_148p0tvhhpbmyo,clean
LED20240126C0011,order_ALY8OZCYWD14,2385.33,2024-01-26,Customer payment - NextGen Solutions,4002,credit,pay_feyuhz1gv0e38d,clean
LED20240123C0012,order_RMJKV5USGIOT,4396.31,2024-01-23,Customer payment - Fusion Foods,4001,credit,pay_q3vli7kq1uymrl,clean
LED20240119C0013,order_KMKZEBBK7W1D,1100.34,2024-01-19,Customer payment - ACME Corp,4001,credit,pay_izl08yg0jv1v93,clean
LED20240128C0014,order_HHXFGCAQVKIZ,148664.84,2024-01-28,Customer payment - Apex Commerce,4003,credit,pay_1v2isqp49kwv08,clean
LED20240127C0015,order_U89YJB1QX6GV,24607.41,2024-01-27,Customer payment - Sunrise Traders,4002,credit,pay_eyz7srcbpljd84,clean
LED20240127C0016,order_RBW2ZLAOI4E8,395.81,2024-01-27,Customer payment - Sunrise Traders,4002,credit,pay_3a5qbswrpbjek5,clean
LED20240102C0017,order_ZUI1B0Z3NX39,15768.74,2024-01-02,Customer payment - SwiftPay Inc,4002,credit,pay_3kkv9rftmttqlg,clean
LED20240116C0018,order_B2KNFTU2GC5W,2289.54,2024-01-16,Customer payment - Fusion Foods,4002,credit,pay_5bcw790pdw5py6,clean
LED20240129C0019,order_361I2HGJ11YE,172.08,2024-01-29,Customer payment - TechSolutions Ltd,4002,credit,pay_dnmkza3oa52960,clean
LED20240103C0020,order_N0JNWNYQW7LV,4978.67,2024-01-03,Customer payment - Sunrise Traders,4001,credit,pay_2qc1iyyo4udoje,clean
LED20240125C0021,order_883DHX8BM92H,173051.35,2024-01-25,Customer payment - FastTrack Logistics,4001,credit,pay_w7kyhqin9n6xcj,clean
LED20240103C0022,order_XKXB94PDZP6L,496.75,2024-01-03,Customer payment - QuickShop,4003,credit,pay_ajepecqnvqhw06,clean
LED20240116C0023,order_LEMX15Z8VMUH,14977.17,2024-01-16,Customer payment - Sunrise Traders,4002,credit,pay_pxnf7c3dd03uvu,clean
LED20240114C0024,order_V5F1BCPPVOHS,804.64,2024-01-14,Customer payment - CloudBiz,4002,credit,pay_gfxc08dtnqfll7,clean
LED20240103C0025,order_PEAL2W37D4IV,1078.87,2024-01-03,Customer payment - DigiMart,4001,credit,pay_nzs43c5ba75uuz,clean
LED20240117C0026,order_W2VMCQBNKX9D,1638.08,2024-01-17,Customer payment - NextGen Solutions,4003,credit,pay_8wquuy5x9l8lpq,clean
LED20240113C0027,order_8VFCX7LXXEZD,11341.99,2024-01-13,Customer payment - DigiMart,4002,credit,pay_vn7n1ybwmlunj4,clean
LED20240110C0028,order_V12II826GYUP,3001.34,2024-01-10,Customer payment - BlueOcean Pvt Ltd,4001,credit,pay_x5wvfgyw6zbnz8,clean
LED20240118C0029,order_MFB7R31QW6AH,95047.31,2024-01-18,Customer payment - QuickShop,4001,credit,pay_d6357oonncildz,clean
LED20240106C0030,order_N0MCIXDU1EMM,1136.59,2024-01-06,Customer payment - Sunrise Traders,4001,credit,pay_mugysm8t2sa5bn,clean
LED20240106C0031,order_S20CV3TLCXLV,28449.14,2024-01-06,Customer payment - PrimeServices,4002,credit,pay_m25len606n9rr7,clean
LED20240106C0032,order_RNUJJQ9K6RE4,14460.86,2024-01-06,Customer payment - SwiftPay Inc,4003,credit,pay_nuvy8n1utoxie0,clean
LED20240106C0033,order_QSE3TV1ES53S,1424.1,2024-01-06,Customer payment - Smart Retail,4003,credit,pay_q9e5cozroouelc,clean
LED20240105C0034,order_WK8R2YKCCPRH,427588.84,2024-01-05,Customer payment - NextGen Solutions,4001,credit,pay_zv4u3bbxux1oxr,clean
LED20240125C0035,order_IVBKV4YKADEJ,272040.66,2024-01-25,Customer payment - CloudBiz,4003,credit,pay_8637zgf9q5rdoq,clean
LED20240119C0036,order_F90KM3TZK3NY,12469.4,2024-01-19,Customer payment - PrimeServices,4003,credit,pay_71hssbelrqvslw,clean
LED20240118C0037,order_N8QTTY5Y2JR8,394796.15,2024-01-18,Customer payment - Smart Retail,4003,credit,pay_ppohswq40zsu9r,clean
LED20240129C0038,order_6IIDLRYE89FX,1806.72,2024-01-29,Customer payment - GreenLeaf Organics,4002,credit,pay_8c7x0h3jujd0ib,clean
LED20240104C0039,order_JG02U1G463SD,1667.86,2024-01-04,Customer payment - Sunrise Traders,4001,credit,pay_ud9k9tr74qgefq,clean
LED20240119C0040,order_Z61231YV2STN,1051.4,2024-01-19,Customer payment - GreenLeaf Organics,4001,credit,pay_y751yw7nh8rq9n,clean
LED20240122C0041,order_QKGEX08N6Q7N,2158.04,2024-01-22,Customer payment - TechSolutions Ltd,4003,credit,pay_uylajahcpztc69,clean
LED20240127C0042,order_0OIH5CSK30LV,6002.04,2024-01-27,Customer payment - Sunrise Traders,4003,credit,pay_70e3p15ahdbvzb,clean
LED20240124C0043,order_LCQNT3BNVBC2,13872.91,2024-01-24,Customer payment - NextGen Solutions,4002,credit,pay_kgtii4fqcootnj,clean
LED20240124C0044,order_TVZKHIUIT7M1,2286.14,2024-01-24,Customer payment - SwiftPay Inc,4002,credit,pay_lm5q201lhlb50a,clean
LED20240113C0045,order_3Y36DDFGS3JO,1842.74,2024-01-13,Customer payment - CloudBiz,4001,credit,pay_snwywrratatj9a,clean
LED20240129C0046,order_G4AHF337KUU4,2095.95,2024-01-29,Customer payment - Sunrise Traders,4003,credit,pay_9967i6yuj7yktx,clean
LED20240112C0047,order_OMD7Q1DDPUSD,16271.8,2024-01-12,Customer payment - TechSolutions Ltd,4001,credit,pay_itngvn1kicjn2f,clean
LED20240110C0048,order_2LM349EL8HL8,1061.33,2024-01-10,Customer payment - CloudBiz,4002,credit,pay_pprcjiwvhdk8lw,clean
LED20240125C0049,order_M6TWD1XMXB9Y,214679.51,2024-01-25,Customer payment - PrimeServices,4002,credit,pay_wixz2c9ros7yt2,clean
LED20240126C0050,order_3E4XYF9IGFU8,1905.1,2024-01-26,Customer payment - Fusion Foods,4002,credit,pay_o8e7flqhrrpzlk,clean
LED20240121C0051,order_7VYLIENFNVUP,22778.18,2024-01-21,Customer payment - SwiftPay Inc,4001,credit,pay_heyr8lnoemqgy2,clean
LED20240115C0052,order_T9T11PHP0XI5,2128.67,2024-01-15,Customer payment - ACME Corp,4001,credit,pay_gu2hbik2u1rsuj,clean
LED20240129C0053,order_ZEFLI4OFWWNC,141364.65,2024-01-29,Customer payment - BlueOcean Pvt Ltd,4002,credit,pay_g9ku8s63e1ocjx,clean
LED20240113C0054,order_P965K55DMCXX,15921.22,2024-01-13,Customer payment - ACME Corp,4003,credit,pay_te4261bw4a7fq9,clean
LED20240111C0055,order_MH07WPH6FE0M,651.54,2024-01-11,Customer payment - PrimeServices,4001,credit,pay_d3dnkn35xycuvf,clean
LED20240118C0056,order_CVAH78OKZ1PO,19000.22,2024-01-18,Customer payment - Sunrise Traders,4003,credit,pay_iwc5amln4ptgq9,clean
LED20240102C0057,order_2J51B3JCZUCQ,487927.29,2024-01-02,Customer payment - CloudBiz,4002,credit,pay_vl00ezzf8s2zge,clean
LED20240125C0058,order_51LDQNK20IN8,450306.16,2024-01-25,Customer payment - BlueOcean Pvt Ltd,4002,credit,pay_ii6l3ueybisbo5,clean
LED20240104C0059,order_IJL2Z0LJCH2V,1422.63,2024-01-04,Customer payment - QuickShop,4001,credit,pay_76szn9dde3cup8,clean
LED20240129C0060,order_C2IHOY7DV7C9,29027.45,2024-01-29,Customer payment - Fusion Foods,4002,credit,pay_8obk3g84utdd2e,clean
LED20240101C0061,order_2292MTR6SNGL,2364.36,2024-01-01,Customer payment - Fusion Foods,4003,credit,pay_5bwikotckeh5sw,clean
